Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",236.151950,99.354325,270.000000,bottom
"C2","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",294.100115,42.214155,90.000000,bottom
"C3","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",179.001950,99.354325,270.000000,bottom
"C4","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",303.625115,99.364155,90.000000,bottom
"C5","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",304.414450,70.779325,270.000000,bottom
"C6","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",309.878200,101.215575,90.000000,bottom
"C7","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",189.320700,46.173075,90.000000,bottom
"C8","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",320.289450,101.173075,90.000000,bottom
"C9","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",246.470700,42.666825,90.000000,bottom
"C10","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.063200,99.361155,270.000000,bottom
"C11","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.969450,71.017405,90.000000,bottom
"C12","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.969450,99.361155,270.000000,bottom
"C13","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.119450,42.673655,90.000000,bottom
"C14","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.763200,42.442405,270.000000,bottom
"C15","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",63.913200,99.361155,90.000000,bottom
"C16","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-20.205550,101.017405,90.000000,bottom
"C17","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.063200,42.211155,90.000000,bottom
"C18","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-10.111800,101.017405,90.000000,bottom
"D1","D","D_SOD-123",163.920700,109.110575,90.000000,bottom
"D2","D","D_SOD-123",154.395700,90.060575,90.000000,bottom
"D3","D","D_SOD-123",159.158200,71.010575,90.000000,bottom
"D4","D","D_SOD-123",168.683200,51.960575,90.000000,bottom
"D5","D","D_SOD-123",182.970700,109.110575,90.000000,bottom
"D6","D","D_SOD-123",173.445700,90.060575,90.000000,bottom
"D7","D","D_SOD-123",178.208200,71.010575,90.000000,bottom
"D8","D","D_SOD-123",187.733200,51.960575,90.000000,bottom
"D9","D","D_SOD-123",185.351950,32.910575,90.000000,bottom
"D10","D","D_SOD-123",202.020700,109.110575,90.000000,bottom
"D11","D","D_SOD-123",192.495700,90.060575,90.000000,bottom
"D12","D","D_SOD-123",197.258200,71.010575,90.000000,bottom
"D13","D","D_SOD-123",206.783200,51.960575,90.000000,bottom
"D14","D","D_SOD-123",213.133200,28.941825,0.000000,bottom
"D15","D","D_SOD-123",221.070700,109.110575,90.000000,bottom
"D16","D","D_SOD-123",211.545700,90.060575,90.000000,bottom
"D17","D","D_SOD-123",216.308200,71.010575,90.000000,bottom
"D18","D","D_SOD-123",225.833200,51.960575,90.000000,bottom
"D19","D","D_SOD-123",232.183200,28.941825,0.000000,bottom
"D20","D","D_SOD-123",240.120700,109.110575,90.000000,bottom
"D21","D","D_SOD-123",230.595700,90.060575,90.000000,bottom
"D22","D","D_SOD-123",235.358200,71.010575,90.000000,bottom
"D23","D","D_SOD-123",244.883200,51.960575,90.000000,bottom
"D24","D","D_SOD-123",251.233200,28.941825,0.000000,bottom
"D25","D","D_SOD-123",259.170700,109.110575,90.000000,bottom
"D26","D","D_SOD-123",249.645700,90.060575,90.000000,bottom
"D27","D","D_SOD-123",254.408200,71.010575,90.000000,bottom
"D28","D","D_SOD-123",282.983200,28.148075,90.000000,bottom
"D29","D","D_SOD-123",268.695700,90.060575,90.000000,bottom
"D30","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",184.508200,99.585575,0.000000,bottom
"D31","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",184.626950,46.391825,0.000000,bottom
"D32","D","D_SOD-123",279.808200,105.141825,0.000000,bottom
"D33","D","D_SOD-123",285.364450,71.010575,90.000000,bottom
"D34","D","D_SOD-123",271.076950,51.960575,90.000000,bottom
"D35","D","D_SOD-123",302.033200,28.148075,90.000000,bottom
"D36","D","D_SOD-123",297.270700,109.110575,90.000000,bottom
"D37","D","D_SOD-123",282.987615,83.720405,90.000000,bottom
"D38","D","D_SOD-123",287.745700,71.010575,90.000000,bottom
"D39","D","D_SOD-123",290.068865,52.764155,0.000000,bottom
"D40","D","D_SOD-123",321.083200,28.148075,90.000000,bottom
"D41","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",241.708200,99.585575,0.000000,bottom
"D42","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",241.708200,42.435575,0.000000,bottom
"D43","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",298.931365,99.585575,0.000000,bottom
"D44","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",298.862615,42.445405,0.000000,bottom
"D45","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",298.858200,71.010575,0.000000,bottom
"D46","D","D_SOD-123",-9.111800,113.879905,90.000000,bottom
"D47","D","D_SOD-123",18.669450,109.117405,90.000000,bottom
"D48","D","D_SOD-123",23.431950,90.067405,90.000000,bottom
"D49","D","D_SOD-123",25.813200,71.017405,90.000000,bottom
"D50","D","D_SOD-123",28.988200,49.586155,180.000000,bottom
"D51","D","D_SOD-123",21.050700,32.917405,90.000000,bottom
"D52","D","D_SOD-123",37.719450,109.117405,90.000000,bottom
"D53","D","D_SOD-123",47.244450,90.067405,90.000000,bottom
"D54","D","D_SOD-123",52.006950,71.017405,90.000000,bottom
"D55","D","D_SOD-123",42.481950,51.967405,90.000000,bottom
"D56","D","D_SOD-123",44.863200,32.917405,90.000000,bottom
"D57","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.438200,99.579905,0.000000,bottom
"D58","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",115.506950,42.442405,0.000000,bottom
"D59","D","D_SOD-123",56.769450,109.117405,90.000000,bottom
"D60","D","D_SOD-123",66.294450,90.067405,90.000000,bottom
"D61","D","D_SOD-123",71.056950,71.017405,90.000000,bottom
"D62","D","D_SOD-123",61.531950,51.967405,90.000000,bottom
"D63","D","D_SOD-123",68.675700,32.979905,90.000000,bottom
"D64","D","D_SOD-123",75.819450,109.054905,90.000000,bottom
"D65","D","D_SOD-123",85.344450,90.067405,90.000000,bottom
"D66","D","D_SOD-123",90.106950,71.017405,90.000000,bottom
"D67","D","D_SOD-123",80.581950,51.967405,90.000000,bottom
"D68","D","D_SOD-123",94.075700,109.117405,90.000000,bottom
"D69","D","D_SOD-123",104.394450,90.067405,90.000000,bottom
"D70","D","D_SOD-123",109.156950,71.017405,90.000000,bottom
"D71","D","D_SOD-123",99.631950,51.967405,90.000000,bottom
"D72","D","D_SOD-123",102.013200,32.917405,90.000000,bottom
"D73","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",58.425700,99.579905,0.000000,bottom
"D74","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",58.356950,42.442405,0.000000,bottom
"D75","D","D_SOD-123",113.919450,109.117405,90.000000,bottom
"D76","D","D_SOD-123",115.568865,86.101655,0.000000,bottom
"D77","D","D_SOD-123",120.206365,67.051655,0.000000,bottom
"D78","D","D_SOD-123",118.681950,51.967405,90.000000,bottom
"D79","D","D_SOD-123",127.475115,28.951655,0.000000,bottom
"D80","D","D_SOD-123",125.031365,105.151655,0.000000,bottom
"D81","D","D_SOD-123",129.731365,48.001655,0.000000,bottom
"D82","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",1.275700,99.604905,0.000000,bottom
"D83","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",1.206950,42.442405,0.000000,bottom
"D84","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",1.206950,71.017405,0.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",279.808200,122.930575,0.000000,bottom
"J3","AudioJack4","Jack_3.5mm_PJ320D_Horizontal",165.512615,117.851655,270.000000,bottom
"J5","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",20.254450,122.917405,0.000000,bottom
"J7","AudioJack4","Jack_3.5mm_PJ320D_Horizontal",115.504450,117.802405,270.000000,bottom
"R1","5.1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",274.964450,117.048075,0.000000,bottom
"R2","5.1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",284.570700,117.048075,180.000000,bottom
"R3","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",309.858200,97.660575,270.000000,bottom
"R4","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",312.233200,96.735575,0.000000,bottom
"R5","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",317.908200,96.735575,180.000000,bottom
"R6","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",320.289450,97.635575,90.000000,bottom
"R7","5.1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",16.719450,116.642405,0.000000,bottom
"R8","5.1K","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",23.350700,116.261155,180.000000,bottom
"R9","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-20.224300,97.211155,270.000000,bottom
"R10","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-17.680550,96.293405,0.000000,bottom
"R11","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-12.730550,96.293405,180.000000,bottom
"R12","R_Small","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-10.111800,97.211155,90.000000,bottom
"SW1","SW_DPDT_x2","SW_SPDT_PCM12",319.338200,84.460575,270.000000,bottom
"SW2","SW_PUSH","SW_SPST_TL3342",310.764450,77.360575,0.000000,bottom
"SW4","SW_PUSH","SW_SPST_TL3342",-10.783635,77.385405,0.000000,bottom
"SW6","SW_DPDT_x2","SW_SPDT_PCM12",-19.273635,84.485405,90.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",297.006950,115.158075,0.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",8.094450,116.042405,180.000000,bottom
